Name,Stats,Unlocked By,Unlocks,Item Tags
Well Rounded,+5 Max Hp +5% Speed +8 Harvesting,Unlocked by default,Potato,
Brawler,+50% Attack Speed with Unarmed weapons You start with 1 Fist +15% Dodge -50 Range -50 Ranged Damage,Unlocked by default,Power Fist,Melee Damage
Crazy,+100 Range with Precise weapons +25% Attack Speed You start with 1 Knife -30% Dodge -10 Engineering -10 Ranged Damage,Unlocked by default,Hunting Trophy,"Crit Chance, Melee Damage"
Ranger,+50 Range You start with 1 Pistol Ranged Damage modifications are increased by 50% You can't equip melee weapons Max HP modifications are reduced by 25%,Unlocked by default,Night Goggles,"Ranged Damage, Range"
Mage,Elemental Damage modifications are increased by 25% You start with 1 Snake You start with 1 Scared Sausage  Melee Damage Modifications are reduced by -100% Ranged Damage Modifications are reduced by -100% Engineering Modifications are reduced by -50%,Unlocked by default,Thunder Sword,Elemental Damage
Chunky,Max HP modifications are increased by 25%  +1% Damage for every 3 Max HP you have +3 HP recovered from consumables -100% Life Steal HP Regeneration modifications are reduced by 50%  Dodge modifications are reduced by 50% Speed modifications are reduced by 100%,Die for the first time,Potato Thrower,"Max HP, Luck, Consumable"
Old,-25% Enemy speed +10 Harvesting -33%Map Size -10% Enemies -10% Speed,Kill 300 enemies,Snail,"Less Enemies, Less Enemy Speed"
Lucky,+100 Luck Luck modifications are increased by 25% +75% chance to deal 1 (15%Luck) damage to a random enemy when you pick up a material -60% Attack Speed -50% XP Gain,Collect 300 materials,Lucky Charm,"Luck, Pickup, Exploration"
Mutant,-66% XP required to level up +50% Items Price,Kill 2000 enemies,Octopus,XP Gain
Generalist,+2 Melee Damage for every 1 Ranged Damage you have +1 Ranged Damage for every 2 Melee Damage you have You can only equip 3 melee weapons and 3 ranged weapons at a time,Collect 2000 materials,Big Arms,"Melee Damage, Ranged Damage"
Loud,+30% Damage +50% Enemies -3 Harvesting at the end of a wave,Kill 5000 enemies,Rip and Tear,More Enemies
