Name,Class,Damage,Attack Speed,DPS,Crit Damage/Chance,Range,Knockback,Lifesteal,Special Effects,Base price,Unlocked by
Blunderbuss(DLC),"Naval, Gun",-  25(+100%)  50(+125%)  80(+150%),-  5.2s  5.2s  5.2s,--  4.8(19.2%)/s  9.6(24%)/s  15.4(28.8%)/s,-  x2 (3% chance)  x2.25 (3% chance)  x2.5 (3% chance),-  325  350  375,-  10  20  30,-  0  0  0,Cooldown is reset when you pick up a material. Pierces 2 enemies dealing -25% less damage with each pierce.,-  45  95  192,Default
Claw,"Unarmed, Precise",5(15%50%)  10(20%50%)  15(25%50%)  25(30%50%),0.78s  0.74s  0.69s  0.61s,6.4(19.2%64.1%)/s  13.5(27%67.6%)/s  21.7(36.2%72.5%)/s  41.0(49.2%82%)/s,x2 (10%)  x2.15 (15%)  x2.3 (20%)  x2.5 (25%),150  150  150  150,2  2  2  2,0  0  0  0,-,15  28  55  110,Win a run with Cryptid
Crossbow,"Precise, Medieval",10(50%10%)  12(50%10%)  15(50%10%)  18(50%10%),1.13s  1.13s  1.13s  1.13s,8.8(44%8%)/s  10.6(44%8%)/s  13.3(44%8%)/s  15.9(44%8%)/s,x1.5 (30%)  x1.75 (35%)  x2 (40%)  x2.25 (45%),350  350  350  350,8  8  8  8,0  0  0  0,Pierces up to 1/2/3/4 times on critical hit,16  34  62  132,Default
Drill,"Legendary, Precise",-  -  -  10(100%100%),-  -  -  0.45s,-  -  -  22.2(222.2%222.2%)/s,-  -  -  x2.5 (50%),-  -  -  100,-  -  -  5,-  -  -  0,100% chance to gain 1 material when killing an enemy with a critical hit. +10 % Attack Speed every 5 seconds until the end of the wave,-  -  -  250,Default
Excalibur,"Legendary, Blade",-  -  -  200(200%200%),-  -  -  0.66s,-  -  -  266.6(266.6%266.6%)/s,-  -  -  x2.5 (10%),-  -  -  200,-  -  -  5,-  -  -  0,Alternates between thrusting and sweeping attacks. -3 Armor for every weapon you have,-  -  -  230,Win a run with King
Gatling Laser,"Legendary, Heavy",-  -  -  10(100%),-  -  -  0.073s,-  -  -  137.0(1370%)/s,-  -  -  x3 (10%),-  -  -  500,-  -  -  5,-  -  -  0,Pierces 3 enemies dealing -25% less damage with each pierce.,-  -  -  290,Default
Grenade Launcher(DLC),"Heavy, Explosive",-  12(+100%)  18(+100%)  30(+100%),-  0.37s  0.37s  0.37s,--  5.9(49%)/s  13.7(76.1%)/s  31.5(105%)/s,-  x2.5 (5% chance)  x3 (10% chance)  x3.5 (20% chance),-  350  400  450,-  0  0  0,-  0  0  0,Every 2nd/3rd/4th shot has a longer cooldown: 3.7s/3.2s/2.7s. Projectiles explode on hit. Bounces 1 time.,-  58  108  212,Win a run with Gangster
Icicle,"Precise, Elemental",10(+100%)  20(+100%)  30(+100%)  40(+100%),1.03s  0.95s  0.87s  0.7s,9.7(96.8%)/s  21.1(105.3%)/s  34.6(115.4%)/s  57.1(142.9%)/s,x2 (5% chance)  x2 (10% chance)  x2.5 (15% chance)  x3 (20% chance),400  400  400  400,5  5  5  5,0  0  0  0,Pierces 1 enemy dealing -50% less to the second enemy,18-  36-  66-  140-,Default
Javelin(DLC),Primitive,8(+100%)  12(+100%)  16(+100%)  20(+100%),1.2s  1.12s  1.03s  0.95s,6.7(83.3%)/s  10.7(89.6%)/s  15.5(97.1%)/s  21.1(105.3%)/s,x2.5 (0% chance)  x2.75 (0% chance)  x3 (0% chance)  x3.25 (0% chance),350  375  400  425,0  0  0  0,0  0  0  0,Every 5th/4th/3rd/2nd projectile has +100 % Crit Chance. Pierces 2/3/4/5 enemies dealing -25% less damage with each pierce.,18  36  66  140,Default
Knife,Precise,6(80%)  9(80%)  12(80%)  20(80%),1.01s  0.93s  0.86s  0.78s,5.9(79%)/s  9.7(86%)/s  14.0(93%)/s  25.6(102%)/s,x2.5 (20%)  x3 (30%)  x3.5 (40%)  x4 (50%),150  150  150  150,2  2  2  2,0  0  0  0,,15  31  61  122,Default
Scissors,"Medical, Precise",5(80%)  10(80%)  15(80%)  20(80%),1.01s  0.98s  0.94s  0.86s,5.0(79%)/s  10.2(81%)/s  16.0(85%)/s  23.3(93%)/s,x2 (10%)  x2.15 (12%)  x2.3 (15%)  x2.5 (20%),150  150  150  150,2  2  2  2,40%  45%  50%  60%,,15  31  61  122,Default
Sharp Tooth,"Primitive, Precise",5(+50%+50%)  8(+50%+65%)  11(+50%+80%)  15(+50%+100%),1.14s  1.07s  1s  0.93s,4.4(43.7%43.7%)/s  7.5(46.7%60.7%)/s  11(50.1%80.1%)/s  16.2(54%108%)/s,x2 (3% chance)  x2.15 (6% chance)  x2.3 (9% chance)  x2.5 (12% chance),150  160  170  180,2  2  2  2,0  0  0  0,+1 % Life Steal for every 25%/20%/15%/10% of missing health,12  26  52  105,Default
Sniper Gun,"Gun, Precise",-  -  50(100%20%)  80(100%30%),-  -  2.4s  2.4s,-  -  20.8(41%8%)/s  33.3(41%12%)/s,-  -  x3 (20%)  x4 (20%),-  -  800  1000,-  -  30  30,-  -  0  0,Hitting an enemy spawns 5/8 projectiles dealing 5 +(10%/15%),-  -  115  245,Win a run with Hunter
Spoon(DLC),Blunt,10(+50%+15%)  15(+50%+20%)  20(+50%+25%)  25(+50%+25%),1.06s  0.99s  0.93s  0.86s,9.4(47.1%14.1%)/s  15.1(50.3%20.1%)/s  21.6(54%27%)/s  28.9(57.9%28.9%)/s,x2 (0% chance)  x2.25 (0% chance)  x2.5 (0% chance)  x3 (0% chance),150  165  180  200,2  2  2  2,0  0  0  0,Always crits when hitting burning targets,15  31  61  122,Win a run with Chef
