Name,Stats,Unlocked By,Unlocks,Item Tags
Builder(DLC),You start with 1 Builder's Turret Every 5 uncollected materials are converted into 1 % Structure attack speed and 1 Structure Range at the end of a wave Engineering modifications are increased by 50% +20 Harvesting You can't have structures -30% pickup range Damage modifications are reduced by 75%,Unlocked by default,Lighthouse,Engineering
Curious(DLC),You start with 1 Spyglass 2 additional loot aliens appear every wave All future loot aliens become stronger when you kill a loot alien +2 % XP Gain for every different Item you have -10 % Damage for every duplicate item or weapon you have +25 % Enemy health,Unlocked by default,Pearl,Luck
Entrepreneur,-25% Items Price Harvesting modifications are increased by 50% Gain 25% more materials from recycling items -100% of your materials at the start of waves Damage modifications are reduced by 50%,Hold 3000 Materials,Bowler Hat,"Harvesting, Economy"
Engineer,+10 Engineering Engineering modifications are increased by 25% You start with 1 Wrench  Structures spawn close to each other Damage modifications are reduced by 50%,Get 5 turrets on the map simultaneously,Robot Arm,"Engineering, Structure"
Artificer,+175% Explosion Damage +4% Explosion Size for every 1 Elemental Damage you have +100% Damage with Tool weapons -100% Damage Armor modifications are reduced by 50%,Kill 15 Enemies with a single explosion,Explosive Shells,Explosive (Item Tag)
Lich,+10 HP Regeneration +10 % Life Steal 100% chance to deal 10 () damage to a random enemy when you heal Damage modifications are reduced by 50%,Reach +100 Max HP,Tentacle,"Max HP, HP Regeneration, Life Steal"
Masochist,+5% Damage when you take damage until the end of the wave +10 Max HP +20 HP Regeneration +8 Armor -100% Damage,Win a run in Danger 3,Spiky Shield,"Max HP, Armor, HP Regeneration, Life Steal"
King,+50 Luck +25 % Damage for every Tier IV weapon you have +25% Attack Speed for every Tier IV weapon you have +5 Max HP for every different Tier IV item you have -15% Damage for every Tier I weapon you have -15% Attack Speed for every Tier I weapon you have -2 Max HP for every different Tier I item you have UNLISTED BONUS: Starting weapon is Tier II,Get 3 tier IV weapons at once,Excalibur,
Renegade,+2 projectiles Projectiles pierce through 1 additional target +10 % Damage for every different Tier I item you have You can't equip melee weapons -400% Damage -50% accuracy % Damage modifications are reduced by 80%,Get 10 different tier I items during a run,Fairy,
Romantic(DLC),Hitting an enemy that has less than 25% health has a 5% (50%) chance to charm it for 8 seconds +50 Range with melee weapons -3 % Damage for every 5 Curse you have -1 Armor for every 5 Curse you have +1 Curse at the end of a wave,Finish a run with 0 Curse,Flute,
Sailor(DLC),+200% damage with Naval weapons against cursed enemies +25 Curse -25 % Damage You can only equip tier II weapons or above Dodge is capped at 20% Harvesting modifications are reduced by 100%,Unlocked by default,Treasure Map,Curse
Vampire,+2 % Damage for every 1% of missing health +1 % Life Steal for every 3% of missing health +1 Armor for every 5% of missing health Max HP modifications are reduced by 25% -60 % Damage -100 HP Regeneration -100 HP recovered from consumables,Reach +40 % Life Steal,Decomposing Flesh,Life Steal
