Name,Class,Damage,Attack Speed,DPS,Crit Damage/Chance,Range,Knockback,Lifesteal,Special Effects,Base price,Unlocked by
DEX-troyer,"Legendary, Explosive",-  -  -  100(+100%+100%),-  -  -  1.33s,--  --  --  75.3(75.3%75.3%)/s,-  -  -  x2 (3% chance),-  -  -  400,-  -  -  10,-  -  -  0,50% chance to explode on hit Hitting an enemy spawns a lightning projectile that bounces 5 times and deals 30 (+100%) damage,-  -  -  315,Default
Fireball,"Explosive, Elemental",-  5(+25%)  10(+50%)  20(+75%),-  1.12s  1.03s  0.87s,--  4.5(22.4%)/s  9.7(48.4%)/s  23.1(86.5%)/s,-  x1.5 (3% chance)  x1.5 (3% chance)  x1.5 (3% chance),-  400  450  500,-  0  0  0,-  0  0  0,Projectiles explode on hit. Deals -/5x3/6x4/8x5 (+100%) burning damage,-  36  66  140,Default
Flamethrower,"Elemental, Heavy",-  1(1%)  1(1%)  1(1%),-  0.12s  0.12s  0.09s,-  8.3(8%)/s  8.3(8%)/s  11.1(11%)/s,-  x2 (0%)  x2 (0%)  x2 (0%),-  250  300  400,-  0  0  0,-  0  0  0,Deals -/1x3/3x5/5x8(100%) burning damage  Pierces 99 enemies dealing 1 damage,-  56  103  207,Default
Flaming Brass Knuckles,"Unarmed, Elemental",-  16(100%)  32(100%)  64(100%),-  0.73s  0.69s  0.59s,-  21.9(136%)/s  46.4(144%)/s  108.5(169%)/s,-  x1.5 (1%)  x1.5 (1%)  x1.5 (1%),-  150  150  150,-  15  15  15,-  0  0  0,Deals -/8x5/12x6/15x7(100%) burning damage,-  46  86  173,Default
Icicle,"Precise, Elemental",10(+100%)  20(+100%)  30(+100%)  40(+100%),1.03s  0.95s  0.87s  0.7s,9.7(96.8%)/s  21.1(105.3%)/s  34.6(115.4%)/s  57.1(142.9%)/s,x2 (5% chance)  x2 (10% chance)  x2.5 (15% chance)  x3 (20% chance),400  400  400  400,5  5  5  5,0  0  0  0,Pierces 1 enemy dealing -50% less to the second enemy,18-  36-  66-  140-,Default
Lightning Shiv,"Precise, Elemental",3(80%)  6(80%)  9(80%)  15(80%),1.01s  0.93s  0.86s  0.78s,3.0(79%)/s  6.5(86%)/s  10.5(93%)/s  19.2(102%)/s,x2 (4%)  x2 (6%)  x2 (8%)  x2 (10%),150  150  150  150,0  0  0  0,0  0  0  0,Hitting an enemy spawns a lightning projectile flying towards another random enemy that bounces -/1/2/3 times and inflicts 5/6/8/11 + (80%) damage,18  36  66  142,Default
Nuclear Launcher,"Heavy, Explosive",-  -  60(100%100%)  120(100%100%),-  -  2.12s  2.12s,-  -  28.3(47%47%)/s  56.6(47%47%)/s,-  -  x2 (3%)  x2 (3%),-  -  800  800,-  -  15  15,-  -  0  0,Projectiles explode on hit,-  -  144  289,Win a run with Soldier
Particle Accelerator,"Heavy, Elemental",-  -  60(+100%+100%)  120(+100%+100%),-  -  1.95s  1.62s,--  --  30.8(51.3%51.3%)/s  74.2(61.8%61.8%)/s,-  -  x2 (3% chance)  x2 (3% chance),-  -  800  800,-  -  0  0,-  -  0  0,Deals 8x8/10x10 (+100%) burning damage Slows enemies by 1%/2% on hit for every 1 Engineering you have [0%]. Pierces through enemies. Can't bounce,-  -  144  289,Win a run with Technomage
Plank,"Explosive, Elemental",10(50%50%50%)  15(60%60%60%)  20(70%70%70%)  25(80%80%80%),1.23s  1.14s  1.06s  0.98s,8.1(41%41%41%)/s  13.2(53%53%53%)/s  18.9(66%66%66%)/s  25.5(82%82%82%)/s,x2 (3%)  x2 (3%)  x2 (3%)  x2 (3%),150  150  150  150,5  5  5  5,0  0  0  0,Hits have 25%/30%/35%/40% chance to explode.,15  31  61  122,Default
Plasma Sledge,"Elemental, Explosive",-  -  80(150%150%)  120(200%200%),-  -  1.55s  1.49s,-  -  51.6(96%96%)/s  80.5(134%134%)/s,-  -  x1.75 (3%)  x1.75 (3%),-  -  175  175,-  -  30  30,-  -  0  0,Hits have 25%/50% chance to explode.,-  -  136  272,Win a run with Knight
Taser,"Support, Elemental",6x1(80%)  6x2(70%)  6x3(60%)  12x4(50%),0.95s  0.95s  0.95s  0.95s,6.3(84%)/s  12.6(147%)/s  18.9(189%)/s  50.5(210%)/s,x2 (3%)  x2 (3%)  x2 (3%)  x2 (3%),200  200  200  200,0  0  0  0,0  0  0  0,Slows enemies in a radius around the projectile,15  31  61  122,Default
Thunder Sword,"Blade, Elemental",-  -  30(125%125%)  60(150%150%),-  -  1.21s  1.06s,-  -  24.8(103%103%)/s  56.6(141%141%)/s,-  -  x2 (3%)  x2 (3%),-  -  200  200,-  -  5  5,-  -  0  0,Hitting an enemy spawns 2/4 projectiles that slow and damage enemies by 100%,-  -  119  238,Win a run with Mage
Torch,"Primitive, Elemental",1(50%50%)  1(65%65%)  1(80%80%)  1(100%100%),1.1s  1.04s  0.95s  0.8s,0.9(45%45%)/s  1.0(63%63%)/s  1.1(84%84%)/s  1.2(125%125%)/s,x1.5 (0%)  x1.5 (0%)  x1.5 (0%)  x1.5 (0%),175  175  175  175,20  20  20  20,0  0  0  0,Deals 3x3/5x5/8x6/12x9(100%) burning damage. Burning spreads to 0/0/1/1 additional nearby enemies.,10  22  45  91,Default
