Wave,40,45,50,60,70,80,90,100,150,200,250,300,400,500,750,1000
Endless Factor,6,13,23,57,115,201,323,486,2129,5702,11954,21637,54293,1.10•E5,3.87•E5,9.37•E5
Damage Increase,630%,1300%,2325%,5740%,11575%,20130%,32305%,48600%,2.13•E3,5.70•E3,1.20•E4,2.16•E4,5.43•E4,1.10•E5,3.87•E5,9.37•E5
HP Increase,1418%,2925%,5231%,12915%,25819%,45293%,72686%,1.09•E3,4.79•E3,1.28•E4,2.69•E4,4.87•E4,1.22•E5,2.47•E5,8.70•E5,2.11•E6
Speed %,147%,198%,277%,275%,275%,275%,275%,275%,275%,275%,275%,275%,275%,275%,275%,275%
Price Increase %,126%,260%,465%,1148%,2295%,4026%,6461%,9720%,4.26•E2,1.14•E3,2.39•E3,4.33•E3,1.09•E4,2.19•E4,7.74•E4,1.87•E5
First Reroll price,94,129,173,289,446,658,900,1203,3611,7751,1.39•E4,2.24•E4,4.70•E4,8.33•E4,2.34•E5,4.85•E5
Consumable Chance,13.7%,7.1%,4.1%,1.7%,0.9%,0.5%,0.3%,2.05•E-3,4.70•E-4,1.75•E-4,8.36•E-5,4.62•E-5,1.84•E-5,9.12•E-6,2.58•E-6,1.07•E-6
Iframes Duration,15.87%,7.69%,4.35%,1.75%,8.71•E-3,4.97•E-3,3.10•E-3,2.06•E-3,4.70•E-4,1.75•E-4,8.37•E-5,4.62•E-5,1.84•E-5,9.12•E-6,2.28•E-6,1.07•E-6
Giant Belt,79.37%,38.46%,21.51%,8.71%,4.36%,2.48%,1.55%,1.03%,2.35•E-3,8.77•E-4,4.18•E-4,2.31•E-4,9.21•E-5,4.56•E-5,1.29•E-5,5.33•E-6
