Name,Rarity,Effects,Base Price,Limit,Unlocked By,Tags
Alloy,Tier 3,+3 Melee Damage +3 Ranged Damage +3 Elemental Damage +3 Engineering +5 % Crit Chance -6 % Dodge,80,,,"Melee Damage, Ranged Damage, Engineering, Crit Chance, Elemental Damage"
Book,Tier 1,+1 Engineering,8,,,Engineering
Cog,Tier 2,+4 Engineering +1 Knockback -4 % Damage,35,,,"Engineering, Knockback"
Compass,Tier 2,+5 % Speed +3 Engineering -3 % Crit Chance,40,,Win a run with Explorer,"Speed, Engineering"
Diploma,Tier 4,+10 Engineering +50 % XP Gain -3 Max HP,90,,,"Engineering, XP Gain"
Duct Tape,Tier 1,+1 Armor +1 Engineering -2 Max HP,20,,,"Armor, Engineering"
Exoskeleton,Tier 4,+3 Armor +5 % Crit Chance +5 Engineering +5 % Speed -2 HP Regeneration -2 % Life Steal,90,,,"Armor, Crit Chance, Engineering, Speed"
Lighthouse(DLC),Tier 3,+20 Engineering -1 Engineering for every 1 Structure you have,80,1.0,Win a run with Builder,Engineering
Metal Detector,Tier 2,+5% chance to double the value of picked up materials +6 Luck +2 Engineering -5 % Damage,40,20.0,,"Luck, Engineering, Pickup, Economy"
Nail,Tier 3,+5 Engineering Weapon damage additionally scales with 20% Engineering -2 Ranged Damage,65,1.0,,Engineering
Pencil,Tier 1,+2 Engineering -1 % Attack Speed -1 % Crit Chance,15,,,Engineering
Pile of Books,Tier 3,Your structures can crit +3 % Crit Chance +3 Engineering,70,1.0,,"Crit Chance, Engineering"
Pocket Factory,Tier 2,+2 Engineering Killing a tree spawns a turret,75,1.0,,"Engineering, Exploration, Structure"
Reinforced Steel,Tier 2,+2 Ranged Damage +3 Engineering -3 % Speed,50,,,"Ranged Damage, Engineering"
Robot Arm,Tier 4,+3 Melee Damage at the end of a wave +3 Engineering at the end of a wave -1 Max HP at the end of a wave,100,,Win a run with Engineer,"Melee Damage, Engineering"
Shackles,Tier 3,+8 HP Regeneration +8 Engineering +80 Range Your Speed is capped at its current value,80,1.0,,"Range, HP Regeneration, Engineering"
Strange Book,Tier 3,+1 Engineering for every permanent 1 Elemental Damage you have -1 Melee Damage -1 Ranged Damage,70,1.0,,"Engineering, Elemental Damage"
Toolbox,Tier 3,+6 Engineering -8 % Attack Speed,55,,,Engineering
