Name,Stats,Unlocked By,Unlocks,Item Tags
Arms Dealer,-95% Weapons Price +30 Harvesting Damage modifications are increased by +33% You start with 1 Dangerous Bunny Shops always sell at least 1 weapon All of your weapons are destroyed when entering a shop,Recycle 12 weapons during a run,Anvil,
Baby,+12 Harvesting -20 % Items Price You gain a weapon slot when you level up instead of a stat upgrade (max: 24) You start with one weapon slot Shops always sell at least one weapon +130% XP required to level up,Reach level 10 before wave 6,Celery Tea,XP Gain
Builder(DLC),You start with 1 Builder's Turret Every 5 uncollected materials are converted into 1 % Structure attack speed and 1 Structure Range at the end of a wave Engineering modifications are increased by 50% +20 Harvesting You can't have structures -30% pickup range Damage modifications are reduced by 75%,Unlocked by default,Lighthouse,Engineering
Doctor,+200% Attack Speed with Medical weapons +5 HP Regeneration HP Regeneration modifications are increased by 100% +5 Harvesting -100% Attack Speed Armor modifications are reduced by 50%,Heal 200 HP in one wave,Medikit,HP Regeneration
Entrepreneur,-25% Items Price Harvesting modifications are increased by 50% Gain 25% more materials from recycling items -100% of your materials at the start of waves Damage modifications are reduced by 50%,Hold 3000 Materials,Bowler Hat,"Harvesting, Economy"
Farmer,+20 Harvesting Harvesting increases by an additional 3% at the end of a wave +1 Harvesting when eating a consumable while at full health  -50% materials dropped,Reach +200 Harvesting,Wheat,"Harvesting, Consumable"
Fisherman,+5 Max HP +20 Harvesting Shops always sell a Bait -100% Bait price +2 Harvesting for every 1 Bait you have Baits make some special enemies spawn throughout all future waves -50% materials dropped from enemies,Get 2 Bait during a run,Lure,
Old,-25% Enemy speed +10 Harvesting -33%Map Size -10% Enemies -10% Speed,Kill 300 enemies,Snail,"Less Enemies, Less Enemy Speed"
Saver,+15 Harvesting +1% Damage for every 25 Materials you have You start with 1 Piggy Bank +50% Item & Weapon Price,Collect 20000 materials,Padding,
Well Rounded,+5 Max Hp +5% Speed +8 Harvesting,Unlocked by default,Potato,
