Name,Rarity,Effects,Base Price,Limit,Unlocked By,Tags
Acid,Tier 2,+8 Max HP -2 % Dodge -2 Knockback,65,,,Max HP
Alien Baby,Tier 3,+15 Max HP +10 % Enemy health,80,,,Max HP
Alien Magic,Tier 3,+8 Max HP +3 HP Regeneration -8 Luck,85,,,"Max HP, HP Regeneration"
Alien Worm,Tier 1,+3 Max HP +2 HP Regeneration -1 HP recovered from consumables,15,,,"Max HP, HP Regeneration"
Broken Mouth,Tier 1,+5 Max HP -1 HP Regeneration,25,,,Max HP
Cake,Tier 1,+3 Max HP -1 % Damage,15,,,Max HP
Defective Steroids,Tier 1,+2 Max HP +2 Melee Damage -3 % Attack Speed,20,,,"Max HP, Melee Damage"
Esty's Couch,Tier 4,+5 Max HP +2 HP Regeneration for every permanent -1 % Speed you have -20 % Speed,100,1.0,,"HP Regeneration, Max HP"
Extra Stomach,Tier 4,+1 Max HP when picking up a consumable while at maximum health (max +8 per wave),100,1.0,,"Max HP, Luck"
Grind's Magical Leaf,Tier 4,+3 Max HP at the end of a wave +1 HP Regeneration at the end of a wave +1 % Life Steal at the end of a wave,110,,,"Max HP, HP Regeneration, Life Steal"
Gentle Alien,Tier 1,+2 Max HP +5 % Damage +5% Enemies,30,10.0,,"Max HP, Damage, More Enemies"
Jelly,Tier 1,+1 Max HP for every different weapon you have,15,,Win a run with Vagabond,Max HP
Knot(DLC),Tier 3,+15 % Damage +15 Max HP Weapons can no longer be upgraded or recycled,80,1.0,,"Damage, Max HP"
Kraken's Eye(DLC),Tier 4,You have a 50% chance to explode for 10 (+500%) damage when you get hit +10 Max HP +10 Curse,110,1.0,,"Explosive, Max HP, Curse"
Little Muscley Dude,Tier 2,+3 Melee Damage +5 Max HP -15 Range,50,,,"Melee Damage, Max HP"
Medal,Tier 2,+3 Max HP +3 % Damage +1 Armor +3 % Speed -4 % Crit Chance,55,,,"Max HP, Damage, Armor, Speed"
Octopus,Tier 4,+12 Max HP +5 HP Regeneration +3 % Life Steal -8 % Crit Chance,105,,Win a run with Mutant,"Max HP, Life Steal, HP Regeneration"
Padding,Tier 2,+3 Max HP +1 Max HP for every 80 Materials you have,45,1.0,Win a run with Saver,Max HP
Panda,Tier 4,+12 Max HP +25 Luck -5 % Damage,100,,Win a run with Pacifist,"Max HP, Luck"
Potato,Tier 4,+3 Max HP +2 HP Regeneration +1 % Life Steal +5 % Damage +5 % Attack Speed +3 % Speed +3 % Dodge +1 Armor +5 Luck,95,,Win a run with Well Rounded,"Max HP, HP Regeneration, Damage, Speed, Luck"
Shmoop,Tier 3,+6 Max HP +2 HP Regeneration -2 Melee Damage -1 Ranged Damage,60,,,"Max HP, HP Regeneration"
Spicy Sauce,Tier 2,+3 Max HP Consumables have a 50% chance to explode for 10 (+100%) damage when picked up,40,2.0,Win a run with Glutton,"Max HP, Luck, Explosive"
Stone Skin,Tier 3,+1 Max HP for every permanent 1 Armor you have -6 % Attack Speed,85,1.0,Win a run with Golem,"Armor, Max HP"
Torture,Tier 4,+15 Max HP Restore 5 HP per second. Cannot heal any other way.,100,1.0,,Max HP
Warrior Helmet,Tier 3,+3 Armor +5 Max HP -5 % Speed,80,,,"Armor, Max HP"
Weird Ghost,Tier 1,+3 Max HP Start the next wave with 1 HP,12,,,Max HP
