Name,Stats,Unlocked By,Unlocks,Item Tags
Bull,+20 Max HP +15 HP Regeneration +10 Armor HP Regeneration modifications are increased by 50% You explode for 30 (300% 300% 300%) damage when you take damage This explosion has a 1.5x crit multiplier You can't equip weapons,Win a run in Danger 1,Gnome,"Armor, HP Regeneration, Explosive (Item Tag)"
Chunky,Max HP modifications are increased by 25%  +1% Damage for every 3 Max HP you have +3 HP recovered from consumables -100% Life Steal HP Regeneration modifications are reduced by 50%  Dodge modifications are reduced by 50% Speed modifications are reduced by 100%,Die for the first time,Potato Thrower,"Max HP, Luck, Consumable"
Demon,+50% of your Materials are converted into Max HP at the end of a wave (13 Materials=1 Max HP) You buy items using Max HP instead of materials,Win a run in Danger 5,Obliterator,
Druid(DLC),+5 Max HP +15 Luck Enemies have a higher chance of dropping fruits 33% chance to get +1 Luck when you pick up a fruit 33% of fruits are poisoned and hurt you (ignores Dodge and Armor) -100 HP Regeneration -100 % Life Steal Engineering modifications are reduced by 50%,Collect 250 consumables by the end of wave 20,Cauldron,"Consumable, Luck"
Fisherman,+5 Max HP +20 Harvesting Shops always sell a Bait -100% Bait price +2 Harvesting for every 1 Bait you have Baits make some special enemies spawn throughout all future waves -50% materials dropped from enemies,Get 2 Bait during a run,Lure,
Golem,+20 Max HP Max HP modifications are increased by 33% Armor modifications are increased by 33% +40 % Attack Speed when you have less than 50% health +20 % Speed when you have less than 50% health You can't heal in any way,Finish a wave with 1 HP,Stone Skin,"Max HP, Armor"
Hiker(DLC),Earn 5 materials for every 10 steps you take during a wave +1 Max HP for every 80 steps you take during a wave % Speed modifications are increased by 10% -5 % Speed -50% materials dropped,Walk a total of 20000 steps,Scarf,Speed
King,+50 Luck +25 % Damage for every Tier IV weapon you have +25% Attack Speed for every Tier IV weapon you have +5 Max HP for every different Tier IV item you have -15% Damage for every Tier I weapon you have -15% Attack Speed for every Tier I weapon you have -2 Max HP for every different Tier I item you have UNLISTED BONUS: Starting weapon is Tier II,Get 3 tier IV weapons at once,Excalibur,
Masochist,+5% Damage when you take damage until the end of the wave +10 Max HP +20 HP Regeneration +8 Armor -100% Damage,Win a run in Danger 3,Spiky Shield,"Max HP, Armor, HP Regeneration, Life Steal"
Ogre(DLC),Enemies taking double their max health as damage explode for 10 (+50%-50%) damage +10 Melee Damage You can't equip ranged weapons -50 % Attack Speed -10 % Speed,Deal 1000 damage to an enemy in a single hit,Mace,"Max HP, Melee Damage, Explosive (Item Tag)"
Romantic(DLC),Hitting an enemy that has less than 25% health has a 5% (50%) chance to charm it for 8 seconds +50 Range with melee weapons -3 % Damage for every 5 Curse you have -1 Armor for every 5 Curse you have +1 Curse at the end of a wave,Finish a run with 0 Curse,Flute,
Sick,+12 Max HP +25% Life Steal You take 1 damage per second (does not give invulnerability time) -100 HP Regeneration,Reach -5 % HP Regeneration,Whetstone,Life Steal
Well Rounded,+5 Max Hp +5% Speed +8 Harvesting,Unlocked by default,Potato,
