Name,Rarity,Effects,Base Price,Limit,Unlocked By,Tags
Alloy,Tier 3,+3 Melee Damage +3 Ranged Damage +3 Elemental Damage +3 Engineering +5 % Crit Chance -6 % Dodge,80,,,"Melee Damage, Ranged Damage, Engineering, Crit Chance, Elemental Damage"
Big Arms,Tier 4,+12 Melee Damage +6 Ranged Damage +3 Knockback -3 % Attack Speed -3 % Speed,105,,Win a run with Generalist,"Melee Damage, Ranged Damage, Knockback"
Black Belt,Tier 2,+25 % XP Gain +3 Melee Damage +3 Knockback -8 Luck,50,,,"Melee Damage, XP Gain, Knockback"
Boxing Glove,Tier 1,+1 Melee Damage +3 Knockback,18,,,"Melee Damage, Knockback"
Charcoal,Tier 1,+1 Elemental Damage +2 Melee Damage -2 Harvesting,20,,,"Elemental Damage, Melee Damage"
Claw Tree,Tier 1,+1 Melee Damage +3 % Crit Chance -1 Max HP,20,,,"Melee Damage, Crit Chance"
Defective Steroids,Tier 1,+2 Max HP +2 Melee Damage -3 % Attack Speed,20,,,"Max HP, Melee Damage"
Gnome,Tier 4,+10 Melee Damage +10 Elemental Damage -20 Range -20% pickup range,100,,Win a run with Bull,"Melee Damage, Elemental Damage"
Goat Skull,Tier 1,+3 Melee Damage -2 % Crit Chance,25,,,Melee Damage
Handcuffs,Tier 3,+8 Melee Damage +8 Ranged Damage +8 Elemental Damage Your Max HP is capped at its current value,80,1.0,,"Melee Damage, Ranged Damage, Elemental Damage"
Hedgehog,Tier 1,+2 Melee Damage +1 Ranged Damage -1 HP Regeneration,30,,,"Melee Damage, Ranged Damage"
Little Muscley Dude,Tier 2,+3 Melee Damage +5 Max HP -15 Range,50,,,"Melee Damage, Max HP"
Mammoth,Tier 4,+20 Melee Damage +5 HP Regeneration +5 Knockback -8 % Damage -3 % Speed,110,,,"Melee Damage, HP Regeneration, Knockback"
Mastery,Tier 2,+6 Melee Damage -3 Ranged Damage,55,,,Melee Damage
Robot Arm,Tier 4,+3 Melee Damage at the end of a wave +3 Engineering at the end of a wave -1 Max HP at the end of a wave,100,,Win a run with Engineer,"Melee Damage, Engineering"
Riposte,Tier 2,+2 Melee Damage 100% chance to deal 1 (300%) damage to an enemy when dodging their attack,40,,,"Dodge, Melee Damage"
Saltwater(DLC),Tier 2,+2 Melee Damage +3 % Attack Speed +10 % Speed for 3 seconds when you take damage -1 Elemental Damage,50,1.0,,"Melee Damage, Attack Speed, Speed"
Scarf(DLC),Tier 3,+4 HP Regeneration +4 Melee Damage +4 % Speed +25 % Enemy Speed during the next wave,80,,Win a run with Hiker,"HP Regeneration, Melee Damage, Speed"
Wheat,Tier 3,+4 Melee Damage +2 Ranged Damage +10 Harvesting -2 Elemental Damage,85,,Win a run with Farmer,"Melee Damage, Ranged Damage, Harvesting"
