Icon,Name,Challenge,Unlocks,Unlock Type
,Apprentice,Win a run with Apprentice,Quarterstaff,Weapon
,Arms Dealer,Win a run with Arms Dealer,Anvil,Item
,Artificer,Win a run with Artificer,Explosive Shells,Item
,Baby,Win a run with Baby,Celery Tea,Item
,Brawler,Win a run with Brawler,Power Fist,Weapon
,Bull,Win a run with Bull,Gnome,Item
,Chunky,Win a run with Chunky,Potato Thrower,Weapon
,Crazy,Win a run with Crazy,Hunting Trophy,Item
,Cryptid,Win a run with Cryptid,Claw,Weapon
,Cyborg,Win a run with Cyborg,Improved Tools,Item
,Demon,Win a run with Demon,Obliterator,Weapon
,Doctor,Win a run with Doctor,Medikit,Item
,Hunter,Win a run with Hunter,Sniper Gun,Weapon
,Engineer,Win a run with Engineer,Robot Arm,Item
,Entrepreneur,Win a run with Entrepreneur,Bowler Hat,Item
,Explorer,Win a run with Explorer,Compass,Item
,Farmer,Win a run with Farmer,Wheat,Item
,Fisherman,Win a run with Fisherman,Lure,Item
,Generalist,Win a run with Generalist,Big Arms,Item
,Ghost,Win a run with Ghost,Ritual,Item
,Gladiator,Win a run with Gladiator,Spider,Item
,Glutton,Win a run with Glutton,Spicy Sauce,Item
,Golem,Win a run with Golem,Stone Skin,Item
,Jack,Win a run with Jack,Giant Belt,Item
,King,Win a run with King,Excalibur,Weapon
,Knight,Win a run with Knight,Plasma Sledge,Weapon
,Lich,Win a run with Lich,Tentacle,Item
,Loud,Win a run with Loud,Rip and Tear,Item
,Lucky,Win a run with Lucky,Lucky Charm,Item
,Mage,Win a run with Mage,Thunder Sword,Weapon
,Masochist,Win a run with Masochist,Spiky Shield,Weapon
,Multitasker,Win a run with Multitasker,Chopper,Weapon
,Mutant,Win a run with Mutant,Octopus,Item
,Old,Win a run with Old,Snail,Item
,One Armed,Win a run with One Armed,Focus,Item
,Pacifist,Win a run with Pacifist,Panda,Item
,Ranger,Win a run with Ranger,Night Goggles,Item
,Renegade,Win a run with Renegade,Fairy,Item
,Saver,Win a run with Saver,Padding,Item
,Sick,Win a run with Sick,Whetstone,Item
,Soldier,Win a run with Soldier,Nuclear Launcher,Weapon
,Speedy,Win a run with Speedy,Fin,Item
,Streamer,Win a run with Streamer,Community Support,Item
,Technomage,Win a run with Technomage,Particle Accelerator,Weapon
,Vagabond,Win a run with Vagabond,Jelly,Item
,Vampire,Win a run with Vampire,Decomposing Flesh,Item
,Well Rounded,Win a run with Well Rounded,Potato,Item
,Wildling,Win a run with Wildling,Hatchet,Weapon
