Name,Class,Damage,Attack Speed,DPS,Crit Damage/Chance,Range,Knockback,Lifesteal,Special Effects,Base price,Unlocked by
Anchor(DLC),"Naval, Heavy",-  45(+100%+65%)  70(+125%+90%)  110(+150%+125%),-  1.92s  1.86s  1.81s,--  23.4(52.1%33.9%)/s  37.6(67.2%48.4%)/s  60.8(82.9%69.1%)/s,-  x1.5 (3% chance)  x1.5 (3% chance)  x1.5 (3% chance),-  175  200  225,-  10  10  10,-  0  0  0,-,-  51  95  190,Default
Brick(DLC),Blunt,30(+50%+50%)  60(+65%+65%)  90(+80%+80%)  120(+100%+100%),1.39s  1.39s  1.39s  1.39s,21.5(35.9%35.9%)/s  43(46.6%46.6%)/s  64.6(57.4%57.4%)/s  86.1(71.7%71.7%)/s,x1.5 (3% chance)  x1.5 (3% chance)  x1.5 (3% chance)  x1.5 (3% chance),150  150  150  150,5  5  5  5,0  0  0  0,Has a 1% chance to break and drop 10/30/60/120 materials on hit,6  14  22  40,Default
Cacti Club,"Primitive, Heavy",10(80%)  20(85%)  30(90%)  50(100%),1.66s  1.58s  1.51s  1.36s,6.0(48%)/s  12.7(54%)/s  19.9(60%)/s  36.8(74%)/s,x2 (3%)  x2 (3%)  x2 (3%)  x2 (3%),200  200  200  200,8  8  8  8,0  0  0  0,Hitting an enemy spawns 3/4/5/6 projectiles dealing 50%/60%/70%/80% damage,20  39  74  149,Default
Captain's Sword(DLC),"Naval, Blade",-  -  50(+100%+100%)  80(+125%+125%),-  -  1.03s  0.95s,--  --  48.5(97%97%)/s  84.4(131.9%131.9%)/s,-  -  x2 (3% chance)  x2 (3% chance),-  -  200  200,-  -  5  5,-  -  0  0,Alternates between thrusting and sweeping attacks Deals +25/+50 Damage for every free weapon slot you have.,-  -  110  210,Win a run with Captain
Chainsaw(DLC),"Blade, Tool",-  -  10(+75%+75%+75%)  20(+100%+100%+100%),-  -  0.53s  0.56s,--  --  18.8(141.3%141.3%141.3%)/s  35.9(179.3%179.3%179.3%)/s,-  -  x1.5 (3% chance)  x1.5 (3% chance),-  -  175  200,-  -  0  0,-  -  15%  30%,Cooldown is 1.83s/1.52s every 30/40 shots Deals 10%/20% of an enemy’s current health as bonus damage (1%/2% for bosses and elites),-  -  112  242,Default
Chopper,Blade,6(50%15%)  12(50%20%)  18(50%25%)  30(50%30%),0.99s  0.99s  0.96s  0.89s,6.1(51%15%)/s  12.2(51%20%)/s  18.8(52%26%)/s  33.7(56%34%)/s,x2 (10%)  x2 (15%)  x2 (20%)  x2 (25%),135  150  165  180,2  2  2  2,0  0  0  0,+1/+1/+1/+2 health healed from consumables,15  31  61  122,Win a run with Multitasker
Circular Saw,"Blade, Medical",-  10(100%)  15(100%)  25(100%),-  0.72s  0.67s  0.62s,-  13.9(138%)/s  22.4(149%)/s  40.3(161%)/s,-  x2 (5%)  x2 (10%)  x2 (20%),-  175  175  175,-  0  0  0,-  45%  50%  60%,,-  46  86  173,Default
Claw,"Unarmed, Precise",5(15%50%)  10(20%50%)  15(25%50%)  25(30%50%),0.78s  0.74s  0.69s  0.61s,6.4(19.2%64.1%)/s  13.5(27%67.6%)/s  21.7(36.2%72.5%)/s  41.0(49.2%82%)/s,x2 (10%)  x2.15 (15%)  x2.3 (20%)  x2.5 (25%),150  150  150  150,2  2  2  2,0  0  0  0,-,15  28  55  110,Win a run with Cryptid
DEX-troyer,"Legendary, Explosive",-  -  -  100(+100%+100%),-  -  -  1.33s,--  --  --  75.3(75.3%75.3%)/s,-  -  -  x2 (3% chance),-  -  -  400,-  -  -  10,-  -  -  0,50% chance to explode on hit Hitting an enemy spawns a lightning projectile that bounces 5 times and deals 30 (+100%) damage,-  -  -  315,Default
Drill,"Legendary, Precise",-  -  -  10(100%100%),-  -  -  0.45s,-  -  -  22.2(222.2%222.2%)/s,-  -  -  x2.5 (50%),-  -  -  100,-  -  -  5,-  -  -  0,100% chance to gain 1 material when killing an enemy with a critical hit. +10 % Attack Speed every 5 seconds until the end of the wave,-  -  -  250,Default
Excalibur,"Legendary, Blade",-  -  -  200(200%200%),-  -  -  0.66s,-  -  -  266.6(266.6%266.6%)/s,-  -  -  x2.5 (10%),-  -  -  200,-  -  -  5,-  -  -  0,Alternates between thrusting and sweeping attacks. -3 Armor for every weapon you have,-  -  -  230,Win a run with King
Fist,Unarmed,8(100%)  16(100%)  32(100%)  64(100%),0.78s  0.73s  0.69s  0.59s,10.3(128%)/s  21.9(136%)/s  46.4(144%)/s  108.5(169%)/s,x1.5 (1%)  x1.5 (1%)  x1.5 (1%)  x1.5 (1%),150  150  150  150,15  15  15  15,0  0  0  0,,10  22  45  91,Default
Flaming Brass Knuckles,"Unarmed, Elemental",-  16(100%)  32(100%)  64(100%),-  0.73s  0.69s  0.59s,-  21.9(136%)/s  46.4(144%)/s  108.5(169%)/s,-  x1.5 (1%)  x1.5 (1%)  x1.5 (1%),-  150  150  150,-  15  15  15,-  0  0  0,Deals -/8x5/12x6/15x7(100%) burning damage,-  46  86  173,Default
Ghost Axe,Ethereal,12(100%)  18(100%)  24(100%)  40(100%),1.73s  1.66s  1.58s  1.51s,6.9(57%)/s  10.8(60%)/s  15.2(63%)/s  26.5(66%)/s,x2 (3%)  x2 (3%)  x2 (3%)  x2 (3%),200  200  200  200,2  2  2  2,0  0  0  0,+1% Damage for every 20/18/16/12 kills in a wave with this weapon,20  39  74  149,Default
Ghost Flint,Ethereal,6(100%)  9(100%)  12(100%)  18(100%),1.23s  1.17s  1.1s  1.04s,4.9(81%)/s  7.7(85%)/s  10.9(90%)/s  17.3(96%)/s,x2 (3%)  x2 (3%)  x2 (3%)  x2 (3%),150  160  170  180,2  2  2  2,0  0  0  0,+1% Attack Speed for every 20/18/16/12 kills in a wave with this weapon,12  26  52  105,Default
Hammer,"Blunt, Heavy",-  35(150%)  70(175%)  110(200%),-  1.67s  1.59s  1.5s,-  21.0(89%)/s  44.0(110%)/s  73.3(133%)/s,-  x1.75 (3%)  x1.75 (3%)  x1.75 (3%),-  175  175  175,-  30  40  50,-  0  0  0,+2/+4/+6 Knockback,-  51  95  190,Default
Hand,"Unarmed, Support",1(50%)  1(50%)  1(50%)  1(50%),1.01s  0.93s  0.86s  0.71s,1.0(49%)/s  1.1(53%)/s  1.2(58%)/s  1.4(70%)/s,x1.5 (1%)  x1.5 (1%)  x1.5 (1%)  x1.5 (1%),150  150  150  150,30  30  30  30,0  0  0  0,+3/+6/+9/+18 Harvesting,10  22  45  91,Default
Hatchet,Primitive,5(100%15%)  10(100%15%)  20(100%15%)  40(100%15%),0.68s  0.65s  0.62s  0.58s,7.4(147% 22.1%)/s  14.7(147% 22.1%)/s  29.4(147% 22.1%)/s  64.5(161% 24.2%)/s,x2 (3%)  x2 (3%)  x2 (3%)  x2 (3%),125  125  125  125,2  2  2  2,0  0  0  0,,15  31  61  122,Win a run with Wildling
Hiking Pole(DLC),Support,12(+50%+10%)  18(+50%+12%)  24(+50%+15%)  30(+50%+20%),1.42s  1.34s  1.25s  1.17s,8.4(35.2%7%)/s  13.5(37.4%9%)/s  19.1(39.9%12%)/s  25.6(42.7%17.1%)/s,x1.5 (3% chance)  x1.5 (3% chance)  x1.5 (3% chance)  x1.5 (3% chance),175  175  175  175,0  0  0  0,0  0  0  0,+1 Range for every 70/60/50/40 steps you take during a wave,17  34  66  130,Default
Jousting Lance,Medieval,20(50%30%)  25(50%35%)  30(50%40%)  50(50%50%),1.58s  1.5s  1.42s  1.33s,12.7(31%18%)/s  16.7(33%23%)/s  21.1(35%28%)/s  37.6(37%37%)/s,x2 (3%)  x2 (3%)  x2 (3%)  x2 (3%),250  250  250  250,0  0  0  0,0  0  0  0,+2/+3/+4/+5 % Speed -10/-15/-20/-25 % Damage while standing still,20  36  72  132,Default
Knife,Precise,6(80%)  9(80%)  12(80%)  20(80%),1.01s  0.93s  0.86s  0.78s,5.9(79%)/s  9.7(86%)/s  14.0(93%)/s  25.6(102%)/s,x2.5 (20%)  x3 (30%)  x3.5 (40%)  x4 (50%),150  150  150  150,2  2  2  2,0  0  0  0,,15  31  61  122,Default
Lightning Shiv,"Precise, Elemental",3(80%)  6(80%)  9(80%)  15(80%),1.01s  0.93s  0.86s  0.78s,3.0(79%)/s  6.5(86%)/s  10.5(93%)/s  19.2(102%)/s,x2 (4%)  x2 (6%)  x2 (8%)  x2 (10%),150  150  150  150,0  0  0  0,0  0  0  0,Hitting an enemy spawns a lightning projectile flying towards another random enemy that bounces -/1/2/3 times and inflicts 5/6/8/11 + (80%) damage,18  36  66  142,Default
Lute(DLC),"Musical, Support",4(+50%+10%)  8(+50%+15%)  12(+50%+20%)  16(+50%+25%),1.31s  1.25s  1.2s  1.14s,3.1(38.1%7.6%)/s  6.4(39.9%12%)/s  10(41.7%16.7%)/s  14(43.8%21.9%)/s,x1.5 (3% chance)  x1.5 (3% chance)  x1.5 (3% chance)  x1.5 (3% chance),150  175  200  225,2  2  2  2,0  0  0  0,Enemies hit take 10% more damage for 3 seconds (max: 30%/50%/70%/100%),15  31  61  122,Default
Mace(DLC),"Heavy, Medieval",-  40(+100%-50%)  60(+100%-75%)  100(+100%-100%),-  1.39s  1.31s  1.23s,--  28.7(71.7%-35.9%)/s  45.8(76.3%-57.2%)/s  81.5(81.5%-81.5%)/s,-  x1.5 (3% chance)  x1.5 (3% chance)  x1.5 (3% chance),-  150  150  150,-  5  5  5,-  0  0  0,-3%/-6%/-10% Attack Speed,-  46  92  185,Win a run with Ogre
Plank,"Explosive, Elemental",10(50%50%50%)  15(60%60%60%)  20(70%70%70%)  25(80%80%80%),1.23s  1.14s  1.06s  0.98s,8.1(41%41%41%)/s  13.2(53%53%53%)/s  18.9(66%66%66%)/s  25.5(82%82%82%)/s,x2 (3%)  x2 (3%)  x2 (3%)  x2 (3%),150  150  150  150,5  5  5  5,0  0  0  0,Hits have 25%/30%/35%/40% chance to explode.,15  31  61  122,Default
Plasma Sledge,"Elemental, Explosive",-  -  80(150%150%)  120(200%200%),-  -  1.55s  1.49s,-  -  51.6(96%96%)/s  80.5(134%134%)/s,-  -  x1.75 (3%)  x1.75 (3%),-  -  175  175,-  -  30  30,-  -  0  0,Hits have 25%/50% chance to explode.,-  -  136  272,Win a run with Knight
Power Fist,"Unarmed, Explosive",-  -  40(100%)  60(100%),-  -  0.69s  0.59s,-  -  58.0(144%)/s  101.7(169%)/s,-  -  x1.5 (1%)  x1.5 (1%),-  -  150  150,-  -  15  15,-  -  0  0,Hits have 25%/50% chance to explode.,-  -  110  221,Win a run with Brawler
Pruner,Support,10(50%)  15(65%)  20(80%)  25(100%),1.14s  1.06s  0.98s  0.89s,8.8(43%)/s  14.2(61%)/s  20.4(81%)/s  28.1(112%)/s,x1.25 (3%)  x1.5 (6%)  x1.75 (9%)  x2 (12%),150  150  150  150,2  2  2  2,0  0  0  0,Spawns a garden that creates a fruit every 15/14/12/10 seconds,15  28  52  95,Default
Quarterstaff,"Primitive, Medieval",10(75%50%)  15(85%65%)  20(100%85%)  30(125%100%),1.42s  1.25s  1.09s  0.92s,7.0(52.8%35.2%)/s  12.0(68.0%52.0%)/s  18.3(91.7%78.0%)/s  32.6(135.9%108.7%)/s,x1.5 (3%)  x1.5 (3%)  x1.5 (3%)  x1.5 (3%),175  175  175  175,0  0  0  0,0  0  0  0,Alternates between thrusting and sweeping attacks +2% XP Gain/+5% XP Gain/+9% XP Gain/+15% XP Gain,17  34  66  130,Win a run with Apprentice
Rock,"Primitive, Blunt",20(100%)  35(100%)  50(100%)  70(100%),1.68s  1.61s  1.53s  1.46s,11.9(59%)/s  21.7(62%)/s  32.7(65%)/s  47.9(68%)/s,x1.5 (10%)  x1.5 (15%)  x1.5 (20%)  x1.5 (25%),150  150  150  150,5  5  5  5,0  0  0  0,"-/+1 Armor/+1 Armor, +2 Max HP/+2 Armor, +2 Max HP",10  22  45  91,Default
Scissors,"Medical, Precise",5(80%)  10(80%)  15(80%)  20(80%),1.01s  0.98s  0.94s  0.86s,5.0(79%)/s  10.2(81%)/s  16.0(85%)/s  23.3(93%)/s,x2 (10%)  x2.15 (12%)  x2.3 (15%)  x2.5 (20%),150  150  150  150,2  2  2  2,40%  45%  50%  60%,,15  31  61  122,Default
Screwdriver,Tool,8(50%50%)  12(50%50%)  16(50%50%)  20(50%50%),1.05s  1.0s  0.97s  0.87s,7.6(47%47%)/s  12.0(50%50%)/s  16.5(51%51%)/s  23.0(57%57%)/s,x2 (10%)  x2 (15%)  x2 (20%)  x2 (30%),125  125  125  125,3  3  3  3,0  0  0  0,A landmine spawns every 12s/9s/6s/3s dealing 10(100%) damage in an area,10  22  45  91,Default
