Name,Class,Damage,Attack Speed,DPS,Crit Damage/Chance,Range,Knockback,Lifesteal,Special Effects,Base price,Unlocked by
Blunderbuss(DLC),"Naval, Gun",-  25(+100%)  50(+125%)  80(+150%),-  5.2s  5.2s  5.2s,--  4.8(19.2%)/s  9.6(24%)/s  15.4(28.8%)/s,-  x2 (3% chance)  x2.25 (3% chance)  x2.5 (3% chance),-  325  350  375,-  10  20  30,-  0  0  0,Cooldown is reset when you pick up a material. Pierces 2 enemies dealing -25% less damage with each pierce.,-  45  95  192,Default
Chain Gun,"Legendary, Gun",-  -  -  2x3(100%100%),-  -  -  0.073s,-  -  -  82.2(4110%4110%)/s,-  -  -  x1.5 (3%),-  -  -  500,-  -  -  5,-  -  -  0,Cooldown is 2.04s every 100 shots. Pierces 1 enemy dealing -50% less damage with each pierce.,-  -  -  300,Default
Crossbow,"Precise, Medieval",10(50%10%)  12(50%10%)  15(50%10%)  18(50%10%),1.13s  1.13s  1.13s  1.13s,8.8(44%8%)/s  10.6(44%8%)/s  13.3(44%8%)/s  15.9(44%8%)/s,x1.5 (30%)  x1.75 (35%)  x2 (40%)  x2.25 (45%),350  350  350  350,8  8  8  8,0  0  0  0,Pierces up to 1/2/3/4 times on critical hit,16  34  62  132,Default
Double Barrel Shotgun,Gun,3x4(80%)  6x4(85%)  9x4(90%)  9x6(100%),1.37s  1.28s  1.2s  1.2s,8.8(233%)/s  18.8(265%)/s  30.0(300%)/s  45(500%)/s,x2 (3%)  x2 (3%)  x2 (3%)  x2 (3%),350  350  350  350,8  8  8  8,0  0  0  0,"Pierces 2/2/2/3 enemies, dealing -30% less damage after each piercing",20  39  74  149,Default
Fireball,"Explosive, Elemental",-  5(+25%)  10(+50%)  20(+75%),-  1.12s  1.03s  0.87s,--  4.5(22.4%)/s  9.7(48.4%)/s  23.1(86.5%)/s,-  x1.5 (3% chance)  x1.5 (3% chance)  x1.5 (3% chance),-  400  450  500,-  0  0  0,-  0  0  0,Projectiles explode on hit. Deals -/5x3/6x4/8x5 (+100%) burning damage,-  36  66  140,Default
Flamethrower,"Elemental, Heavy",-  1(1%)  1(1%)  1(1%),-  0.12s  0.12s  0.09s,-  8.3(8%)/s  8.3(8%)/s  11.1(11%)/s,-  x2 (0%)  x2 (0%)  x2 (0%),-  250  300  400,-  0  0  0,-  0  0  0,Deals -/1x3/3x5/5x8(100%) burning damage  Pierces 99 enemies dealing 1 damage,-  56  103  207,Default
Flute(DLC),Musical,5(+50%+10%)  8(+50%+15%)  11(+50%+20%)  15(+50%+25%),1.2s  1.12s  1.03s  0.95s,4.2(41.7%8.3%)/s  7.2(44.8%13.4%)/s  10.6(48.4%19.4%)/s  15.8(52.6%26.3%)/s,x1.5 (3% chance)  x1.5 (3% chance)  x1.5 (3% chance)  x1.5 (3% chance),300  325  350  375,0  0  0  0,0  0  0  0,Hitting an enemy that has less than 60%/65%/70%/75% health has a 10%/15%/20%/25% chance to charm it for 8 seconds,20  45  80  165,Win a run with Romantic
Gatling Laser,"Legendary, Heavy",-  -  -  10(100%),-  -  -  0.073s,-  -  -  137.0(1370%)/s,-  -  -  x3 (10%),-  -  -  500,-  -  -  5,-  -  -  0,Pierces 3 enemies dealing -25% less damage with each pierce.,-  -  -  290,Default
Ghost Scepter,Ethereal,10(100%)  15(100%)  20(100%)  30(100%),0.98s  0.93s  0.88s  0.83s,10.2(102%)/s  16.1(107%)/s  22.7(113%)/s  36.1(120%)/s,x2 (3%)  x2 (3%)  x2 (3%)  x2 (3%),300  350  400  450,2  2  2  2,0  0  0  0,+1 Max HP for every 20/18/16/12 kills in a wave with this weapon,15  31  61  122,Default
Grenade Launcher(DLC),"Heavy, Explosive",-  12(+100%)  18(+100%)  30(+100%),-  0.37s  0.37s  0.37s,--  5.9(49%)/s  13.7(76.1%)/s  31.5(105%)/s,-  x2.5 (5% chance)  x3 (10% chance)  x3.5 (20% chance),-  350  400  450,-  0  0  0,-  0  0  0,Every 2nd/3rd/4th shot has a longer cooldown: 3.7s/3.2s/2.7s. Projectiles explode on hit. Bounces 1 time.,-  58  108  212,Win a run with Gangster
