kind,id,name,field,value,raw_value
character,well rounded,Well Rounded,is_dlc,-,-
character,well rounded,Well Rounded,starting_weapons,"Knife,Stick,Fist,Cacti Club,Ghost Flint,Wrench,Pistol,SMG,Double Barrel Shotgun,Slingshot,Taser,Wand,Icicle,Lute","Knife,Stick,Fist,Cacti Club,Ghost Flint,Wrench,Pistol,SMG,Double Barrel Shotgun,Slingshot,Taser,Wand,Icicle,Lute"
character,well rounded,Well Rounded,stats,"+5 Max Hp
+5% Speed
+8 Harvesting","<span style=""color:rgb(0,255,0);"">+5</span> Max Hp<br><span style=""color:rgb(0,255,0);"">+5%</span> Speed<br><span style=""color:rgb(0,255,0);"">+8</span> Harvesting"
character,well rounded,Well Rounded,unlock_type,Item,Item
character,well rounded,Well Rounded,unlocked_by,Unlocked by default,Unlocked by default
character,well rounded,Well Rounded,unlocks,Potato,Potato
character,well rounded,Well Rounded,wanted_tags,''None'',''None''
character,brawler,Brawler,is_dlc,-,-
character,brawler,Brawler,starting_weapons,"Fist,Hand,Claw","Fist,Hand,Claw"
character,brawler,Brawler,stats,"+50% Attack Speed with Unarmed weapons
You start with 1 Fist
+15% Dodge
-50 Range
-50 Ranged Damage","<span style=""color:rgb(0,255,0);"">+50%</span> Attack Speed with <span style=""color:rgb(0,255,0);"">Unarmed</span> weapons<br>You start with <span style=""color:rgb(0,255,0);"">1 Fist</span><br><span style=""color:rgb(0,255,0);"">+15%</span> Dodge<br><span style=""color:rgb(244,0,0);"">-50</span> Range<br><span style=""color:rgb(244,0,0);"">-50</span> Ranged Damage"
character,brawler,Brawler,unlock_type,Weapon,Weapon
character,brawler,Brawler,unlocked_by,Unlocked by default,Unlocked by default
character,brawler,Brawler,unlocks,Power Fist,Power Fist
character,brawler,Brawler,wanted_tags,Melee Damage,[[Melee Damage]]
character,crazy,Crazy,is_dlc,-,-
character,crazy,Crazy,starting_weapons,"Knife,Thief Dagger,Scissors,Lightning Shiv,Claw,Sharp Tooth,Shuriken,Icicle","Knife,Thief Dagger,Scissors,Lightning Shiv,Claw,Sharp Tooth,Shuriken,Icicle"
